연번,구인등록일,모집기간,사업장명,모집직종,구인인원,고용형태,임금형태,임금,근무지,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,담당기관,연락처
170,2019-07-17,2019-07-17 ~ 2019-07-30,부천시장애인직업재활시설,인쇄기계 조작원,1,상용직,시급,"8,350",,무관,무관,무관,,    ,경기도 부천시 부천로 342 (도당동),중소,부천고용,1588-1519
171,2019-07-17,2019-07-17 ~ 2019-09-15,주식회사 트윈,창고 관리원(자재 검수원 포함),2,상용직,월급,"1,750,000",,무관,무관,무관,,    ,경기도 포천시 소흘읍 초가팔로 120-13주식회사트윈,중소,의정부고용,1588-1519
172,2019-07-17,2019-07-17 ~ 2019-07-31,(주)루미덕트엔지니어링,플라스틱제품 생산기계 조작원,1,상용직,연봉,"30,000,000",,무관,무관,무관,,    ,경기도 평택시 서탄면 서탄로 579,중소,평택고용,1588-1519
173,2019-07-17,2019-07-17 ~ 2019-07-31,한국수자원공사,상·하수도 처리장치 조작원,2,계약직,연봉,"24,192,000",,무관,무관,무관,,    ,전라남도 장성군 삼계면 평림암치로 141한국수자원공사 전남북부권지사,중소,춘천고용,1588-1519
174,2019-07-17,2019-07-17 ~ 2019-07-30,한국수자원공사,청소원,1,계약직,시급,"10,438",,무관,무관,무관,,자동차운전면허    ,전라남도 장성군 삼계면 평림암치로 141한국수자원공사 전남북부권지사,중소,춘천고용,1588-1519
175,2019-07-17,2019-07-17 ~ 2019-07-30,(사)강원DPI 강릉지회,사회복지사,1,계약직,시급,"8,350",,신입,무관,무관,,사회복지사    ,강원도 강릉시 경강로 23061층 (포남동),중소,강릉고용,1588-1519
176,2019-07-17,2019-07-17 ~ 2019-09-15,(주)랩코,펌웨어 및 임베디드 소프트웨어 프로그래머,1,상용직,월급,"2,300,000",,경력,3년0개월,무관,,    ,광주광역시 북구 첨단과기로 333생활지원로봇센터 408호 (대촌동),중소,광주고용청,1588-1519
177,2019-07-17,2019-07-17 ~ 2019-09-15,(주)케이에스종합관리,경리 사무원(일반사업체),1,상용직,월급,"1,800,000",,무관,무관,무관,,    ,광주광역시 남구 대남대로 2942층 (월산동),중소,광주고용청,1588-1519
178,2019-07-17,2019-07-17 ~ 2019-07-30,이랜드하당노인복지관,사회복지사(사회복지시설),1,계약직,시급,"8,350",,무관,무관,무관,,    ,전라남도 목포시 입암로20번길 25하당노인복지관 (상동),중소,목포고용,1588-1519
179,2019-07-17,2019-07-17 ~ 2019-09-07,본까페 애월,음료 조리사(바리스타 포함),2,상용직,시급,"8,350",,신입,무관,고졸,중국어·문학,자동차운전면허  제과기능사  ,제주특별자치도 제주시 애월읍 애월해안로 179본까페 애월,중소,제주특별자치도지사,1588-1519
180,2019-07-17,2019-07-17 ~ 2019-08-31,대전요양원,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),1,상용직,월급,"1,745,150",,경력,3년0개월,고졸,,자동차운전면허1종보통  소방설비기사(전기분야)  ,대전광역시 서구 조달청길 116,중소,대전고용,1588-1519
181,2019-07-17,2019-07-17 ~ 2019-09-11,금강안마원,안마사,1,상용직,월급,"1,750,000",,신입,무관,무관,,안마사    ,대전광역시 대덕구 옛신탄진로 121대림빌딩 2층,중소,대전고용,1588-1519
182,2019-07-17,2019-07-17 ~ 2019-09-16,태창산업(주),제조 단순 종사원,2,상용직,시급,"8,350",,무관,무관,고졸,,    ,충청남도 공주시 우성면 보적동길 8-18태창산업(주) 공주공장,중소,공주센터,1588-1519
183,2019-07-17,2019-07-17 ~ 2019-07-29,충남중증장애인자립생활센터,사회복지사,1,계약직,월급,"2,048,200",,경력,2년0개월,무관,,사회복지사  자동차운전면허1종보통  ,충청남도 천안시 서북구 오성로 1075층 504호 충남중증장애인자립생활센터 (두정동),중소,천안고용,1588-1519
184,2019-07-17,2019-07-17 ~ 2019-09-16,의료법인 나사렛의료재단 나사렛국제병원,단체 급식 보조원,1,상용직,연봉,"28,450,000",,경력,4년개월,무관,,    ,인천광역시 연수구 먼우금로 98나사렛국제병원 (동춘동),중소,인천새일센터,1588-1519
185,2019-07-17,2019-07-17 ~ 2019-09-16,씨제이프레시웨이주식회사(지사),주방 보조원,1,상용직,월급,"2,200,000",,무관,무관,무관,,    ,경기도 이천시 마장면 덕평로 811508,중소,이천새일센터,1588-1519
186,2019-07-17,2019-07-17 ~ 2019-09-16,주식회사 미인골드,광고디자이너,1,상용직,월급,"2,000,000",,경력,2년0개월,대졸,시각디자인,    ,인천광역시 미추홀구 경인로 229인천IT타워 414호 (도화동),중소,인터넷,1588-1519
187,2019-07-17,2019-07-17 ~ 2019-09-16,경원여객자동차(주),"노선버스 운전원(시내, 마을, 시외, 고속)",30,계약직,월급,"2,500,000",,신입,무관,고졸,,    ,경기도 안산시 단원구 신원로 138627-1 (성곡동),중소,안산시청,1588-1519
188,2019-07-17,2019-07-17 ~ 2019-09-16,신동원목재,화물차·특수차 운전원,1,상용직,월급,"2,200,000",,무관,무관,무관,,    ,충청북도 진천군 문백면 문진로 236-2,중소,청주시일자리센터,1588-1519
189,2019-07-17,2019-07-17 ~ 2019-08-31,(주)이앤아이티홀딩스,창고 관리원(자재 검수원 포함),1,상용직,시급,"8,350",,무관,무관,무관,,    ,서울특별시 중구 명동길 551207 (명동1가),중소,당진시청,1588-1519
190,2019-07-17,2019-07-17 ~ 2019-09-16,계린산업,산업 전기공(항공기·선박·철도기관차·전동차 전기공),10,상용직,월급,"2,400,000",,무관,무관,고졸,,    ,경상남도 거제시 장평3로 80삼성중공업내 계린산업 (장평동),중소,거제시청,1588-1519
191,2019-07-17,2019-07-17 ~ 2019-08-16,(주)새하얀 함안지점,세탁원(다림질원),2,상용직,시급,"8,350",,무관,무관,무관,,    ,경상남도 함안군 군북면 유전1길 24(주)새하얀 함안지점,중소,의령군청,1588-1519
192,2019-07-17,2019-07-17 ~ 2019-09-16,(주)두잉씨앤에스,전기안전 기술자,1,상용직,월급,"2,600,000",,경력,1년개월,무관,,전기산업기사    ,경기도 성남시 분당구 판교역로 182231 (삼평동)에이치스퀘어 에스-908 (삼평동),중소,창원시청,1588-1519
193,2019-07-18,2019-07-18 ~ 2019-07-31,롯데건설(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,계약직,월급,"1,500,000",,무관,무관,무관,,    ,서울특별시 서초구 잠원로14길 29(잠원동),중소,서울동부지사,1588-1519
194,2019-07-18,2019-07-18 ~ 2019-07-31,롯데건설(주),모니터 요원,1,계약직,시급,"8,350",,무관,무관,무관,,    ,서울특별시 서초구 잠원로14길 29(잠원동),중소,서울동부지사,1588-1519
195,2019-07-18,2019-07-22 ~ 2019-07-30,에스원CRM(주),총무 및 일반 사무원,3,계약직,월급,"1,360,000",,무관,무관,고졸,전산학·컴퓨터공학,    ,경기도 수원시 팔달구 경수대로 522. (인계동),중소,경기지역본부,1588-1519
196,2019-07-18,2019-07-18 ~ 2019-10-17,롯데건설(주),산업 안전원 및 위험물 관리원,1,시간제,시급,"8,350",,무관,무관,고졸,,    ,서울특별시 서초구 잠원로14길 29(잠원동),중소,경북지사,1588-1519
197,2019-07-18,2019-07-18 ~ 2019-07-31,한국장애인부모회,데이터베이스 운영·관리자,1,계약직,월급,"1,910,000",,무관,무관,대졸,,    ,서울특별시 영등포구 의사당대로 22이룸센터 603호 (여의도동),중소,한국장애인부모회,1588-1519
198,2019-07-18,2019-07-18 ~ 2019-08-11,현대엔지니어링(주),건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),1,계약직,월급,"2,720,000",,무관,무관,무관,건축· 설비공학,건축기사  가구기능장  ,서울특별시 종로구 율곡로 75 (계동),중소,서울고용,1588-1519
199,2019-07-18,2019-07-18 ~ 2019-08-04,(주)재인물산,지게차 운전원,1,상용직,월급,"2,100,000",,무관,무관,무관,,    ,서울특별시 서초구 서초중앙로29길 16그린빌딩 4층 재인물산 (반포동),중소,서초센터,1588-1519
200,2019-07-18,2019-07-18 ~ 2019-08-16,웹비즈,웹 개발자(웹 엔지니어·웹 프로그래머),3,상용직,연봉,"22,000,000",,무관,무관,무관,,    ,서울특별시 송파구 송파대로 167문정역테라타워 A동403호 (문정동),중소,서울동부고용,1588-1519
201,2019-07-18,2019-07-18 ~ 2019-08-16,웹비즈,웹 디자이너,3,상용직,연봉,"22,000,000",,무관,무관,무관,,    ,서울특별시 송파구 송파대로 167문정역테라타워 A동403호 (문정동),중소,서울동부고용,1588-1519
202,2019-07-18,2019-07-18 ~ 2019-07-31,명지전문대학,직업상담사,1,계약직,연봉,"26,000,000",,경력,1년0개월,초대졸,,    ,서울특별시 서대문구 가좌로 134 (홍은동),중소,서울서부고용,1588-1519
203,2019-07-18,2019-07-18 ~ 2019-09-17,케이잡스 주식회사,총무 및 일반 사무원,1,계약직,월급,"1,750,000",,무관,무관,무관,,사회복지사  직업상담사2급  ,서울특별시 용산구 한강대로15길 9-53층 (한강로3가),중소,서울서부고용,1588-1519
204,2019-07-18,2019-07-18 ~ 2019-09-16,한우육회마을2호점,기타 조리사,1,상용직,일급,"90,000",,무관,무관,무관,식품영양학,한식조리기능사  조리산업기사(한식)  ,서울특별시 관악구 봉천로 520-1 (봉천동),중소,서울관악고용,1588-1519
205,2019-07-18,2019-07-18 ~ 2019-09-17,디에스글로벌(주),경·소형 화물차 운전원,1,계약직,월급,"2,000,000",,무관,무관,무관,,자동차운전면허1종보통    ,서울특별시 금천구 가산디지털2로 1073층 디에스글로벌 (가산동),중소,서울관악고용,1588-1519
206,2019-07-18,2019-07-18 ~ 2019-08-09,한성아이엘에스(주),기계공학 기술자 및 연구원,5,상용직,연봉,"30,000,000",,무관,0년0개월,무관,,    ,경상남도 창원시 마산회원구 봉암북7길 21경남테크노파크 2동 301호 (봉암동),중소,마산고용,1588-1519
207,2019-07-18,2019-07-18 ~ 2019-09-16,주식회사한마음,광고디자이너,2,상용직,월급,"2,000,000",,경력,3년0개월,무관,,    ,경상남도 창원시 진해구 진해대로 1042 (풍호동),중소,창원고용센터,1588-1519
208,2019-07-18,2019-07-18 ~ 2019-09-16,수연24시어린이집,보육 교사,1,상용직,연봉,"22,800,000",,신입,무관,무관,,    ,울산광역시 울주군 웅촌면 대복동천로 206-4수연24시어린이집,중소,울산고용센터,1588-1519
209,2019-07-18,2019-07-18 ~ 2019-08-02,한국장애경제인협회 대구경북지회,기획·마케팅 사무원,1,계약직,월급,"1,800,000",,무관,무관,초대졸,,    ,"대구광역시 수성구 국채보상로192길 20한국장애경제인협회 대구경북지회 (범어동,시장연립주택)",중소,대구고용,1588-1519
210,2019-07-18,2019-07-18 ~ 2019-09-17,청도군장애인연합회,그 외 사회복지 종사원,1,계약직,월급,"1,745,150",,무관,무관,무관,,사회복지사2급  자동차운전면허1종보통  ,경상북도 청도군 청도읍 월곡2길 1515,중소,경산센터,1588-1519
211,2019-07-18,2019-07-18 ~ 2019-08-15,아니스트,모바일 애플리케이션 프로그래머(앱·어플 개발),1,계약직,월급,"1,800,000",,경력,3년개월,초대졸,응용 소프트웨어 공학,    ,경상북도 안동시 서후면 서선길 189안동과학대학교 창업보육센터 1409호 아니스트,중소,안동고용,1588-1519
212,2019-07-18,2019-07-18 ~ 2019-08-30,가온샘주식회사,자재·구매·물류 사무원,1,상용직,월급,"1,800,000",,경력,2년0개월,고졸,,    ,인천광역시 부평구 평천로 386 (삼산동),중소,인천북부고용,1588-1519
213,2019-07-18,2019-07-18 ~ 2019-08-01,한국소방산업기술원,소방공학 시험원,1,계약직,월급,"2,540,000",,무관,무관,무관,,    ,경기도 용인시 기흥구 지삼로 331,중소,용인센터,1588-1519
214,2019-07-18,2019-07-18 ~ 2019-09-17,(주)에이비,전기·전자 분야 단순 종사원,2,상용직,월급,"1,745,150",,무관,무관,고졸,,    ,경기도 화성시 남양읍 화성로1424번길 16-4나동,중소,화성센터,1588-1519
215,2019-07-18,2019-07-18 ~ 2019-08-01,김포하나장애인자립생활센터,기타 사회복지 종사원,1,상용직,월급,"1,800,000",,무관,무관,무관,가족·사회·복지학,사회복지사    ,경기도 김포시 김포한강4로 119승문프라자 11층 1101호 (장기동),중소,김포고용센터,1588-1519
216,2019-07-18,2019-07-18 ~ 2019-09-17,발레오오토모티브코리아 주식회사,인사·교육·훈련 사무원,1,상용직,연봉,"30,000,000",,무관,무관,초대졸,,    ,경기도 안산시 단원구 능안로 98 (신길동),중소,안산센터,1588-1519
217,2019-07-18,2019-07-18 ~ 2019-09-17,비케이로지스,고객 상담원 및 모니터 요원,1,상용직,월급,"1,745,150",,무관,무관,무관,,    ,경기도 남양주시 화도읍 경춘로지현1길 18-11화도읍 월산리 341-3,중소,남양주센터,1588-1519
218,2019-07-18,2019-07-18 ~ 2019-09-17,비케이로지스,웹 디자이너,1,상용직,월급,"2,000,000",,무관,0년0개월,무관,,    ,경기도 남양주시 화도읍 경춘로지현1길 18-11화도읍 월산리 341-3,중소,남양주센터,1588-1519
219,2019-07-18,2019-07-18 ~ 2019-09-17,(사)한국지체장애인협회경기도협회,사회복지사(사회복지시설),1,계약직,월급,"1,745,150",,무관,무관,무관,건축학,건축기사  사회복지사  ,경기도 여주시 소양로53번길 181층 경기도지체장애인협회 여주시지회 (창동),중소,이천고용센터,1588-1519
220,2019-07-18,2019-07-18 ~ 2019-09-16,(주)페퍼저축은행,출납창구 사무원(은행·농협·수협·축협),9,계약직,연봉,"26,000,000",,경력,1년개월,무관,,    ,경기도 성남시 분당구 분당로 5513층,중소,성남고용,1588-1519
221,2019-07-18,2019-07-18 ~ 2019-07-31,(주)글로벌피닉스,웹 디자이너,1,계약직,월급,"1,100,000",,경력,1년0개월,무관,기타디자인,    ,경기도 하남시 감북로27번길 69301호,중소,하남고용센터,1588-1519
222,2019-07-18,2019-07-18 ~ 2019-09-17,미듬영농조합법인,생산·품질 사무원 및 관리원(음식료품),1,상용직,연봉,"21,000,000",,신입,무관,초대졸,식품영양학,    ,경기도 평택시 오성면 신4리길 97,중소,평택고용,1588-1519
223,2019-07-18,2019-07-18 ~ 2019-09-17,에이스팩(주),포장(패키지)디자이너,1,상용직,월급,"2,000,000",,경력,5년0개월,무관,,    ,경기도 안성시 미양면 은골길 36-27에이스팩,중소,안성센터,1588-1519
224,2019-07-18,2019-07-18 ~ 2019-08-14,(주)피앤티,경리 사무원,1,계약직,연봉,"20,941,800",,신입,무관,무관,,    ,경기도 파주시 월롱면 다래울길 22,중소,파주,1588-1519
225,2019-07-18,2019-07-18 ~ 2019-09-17,정원노인요양원,시설 요양보호사(노인요양사),2,상용직,월급,"2,200,000",,무관,무관,무관,,요양보호사    ,경기도 파주시 광탄면 장지산로200번길 32-83정원노인요양원,중소,파주,1588-1519
226,2019-07-18,2019-07-18 ~ 2019-09-16,어썸학원,영어 강사,1,계약직,월급,"1,500,000",,무관,무관,무관,,    ,"강원도 원주시 입춘로 69201,202호 어썸학원 (반곡동)",중소,원주고용,1588-1519
227,2019-07-18,2019-07-18 ~ 2019-09-17,사랑복지센터,간호사,1,상용직,월급,"2,100,000",,무관,무관,초대졸,,간호사    ,"강원도 원주시 남산로 1801061-5,대성빌딩6층 (학성동)",중소,원주고용,1588-1519
228,2019-07-18,2019-07-18 ~ 2019-09-17,광주소망병원,간호조무사,5,상용직,연봉,"23,000,000",,무관,무관,무관,,간호조무사    ,광주광역시 동구 천변좌로 700 (용산동),중소,광주고용청,1588-1519
229,2019-07-18,2019-07-18 ~ 2019-09-17,(주)클린애드,웹 디자이너,1,상용직,연봉,"22,000,000",,무관,무관,무관,,정보처리기사  정보처리산업기사  ,광주광역시 서구 상무중앙로72번길 3아주빌딩 6층 (치평동),중소,광주고용청,1588-1519
230,2019-07-18,2019-07-18 ~ 2019-09-17,(주)비앤피주성,총무 및 일반 사무원,2,계약직,연봉,"26,000,000",,무관,무관,대졸,,    ,전라북도 정읍시 서부산업도로 308금산빌딩 503호 (연지동),중소,정읍센터,1588-1519
231,2019-07-18,2019-07-18 ~ 2019-09-17,현대자동차평화점,경리 사무원(일반사업체),1,상용직,월급,"1,890,000",,경력,2년0개월,고졸,,자동차운전면허    ,전라북도 전주시 완산구 장승배기로 198 (평화동1가),중소,전주고용,1588-1519
232,2019-07-18,2019-07-18 ~ 2019-07-31,제이디씨파트너스,사무 보조원(일반사업체),1,계약직,월급,"1,745,750",,신입,무관,무관,,    ,제주특별자치도 제주시 첨단로 213-4제주첨단과학기술단지 엘리트빌딩,중소,제주특별자치도지사,1588-1519
233,2019-07-18,2019-07-18 ~ 2019-07-31,제이디씨파트너스,"박물관,미술관,문화,역사,자연환경 등 각종 해설사",1,계약직,월급,"1,745,150",,경력,1년0개월,무관,,    ,제주특별자치도 제주시 첨단로 213-4제주첨단과학기술단지 엘리트빌딩,중소,제주특별자치도지사,1588-1519
234,2019-07-18,2019-07-18 ~ 2019-07-31,제이디씨파트너스,면세점 판매원,3,계약직,월급,"1,745,150",,신입,0년0개월,무관,,    ,제주특별자치도 제주시 첨단로 213-4제주첨단과학기술단지 엘리트빌딩,중소,제주특별자치도지사,1588-1519
235,2019-07-18,2019-07-18 ~ 2019-07-30,(유)베스타까르르스타,주차 관리·안내원,1,시간제,시급,"8,350",,무관,무관,무관,,    ,대전광역시 서구 만년로 70베스타뷔페,중소,대전고용,1588-1519
236,2019-07-18,2019-07-18 ~ 2019-09-16,(주)진성푸드,식품 분야 단순 종사원,6,상용직,월급,"1,900,000",,무관,무관,무관,,    ,충청북도 음성군 대소면 대소산단로 69-12(주)진성푸드,중소,음성고용센터,1588-1519
237,2019-07-18,2019-07-18 ~ 2019-09-17,(주)듀델코리아,환경 미화원,1,계약직,월급,"1,300,000",,무관,무관,무관,,    ,경기도 광명시 소하로76번길 21207호  (소하람 1차) (소하동),중소,광명시청,1588-1519
238,2019-07-18,2019-07-18 ~ 2019-09-17,(주)듀델코리아,경비원(건물 관리원),1,계약직,월급,"1,770,000",,무관,무관,무관,,    ,경기도 광명시 소하로76번길 21207호  (소하람 1차) (소하동),중소,광명시청,1588-1519
239,2019-07-18,2019-07-18 ~ 2019-09-17,(주)아워패밀리,제조 단순 종사원,1,상용직,월급,"1,900,000",,무관,무관,무관,,    ,경기도 광주시 오포읍 왕림로 173(주)아워패밀리,중소,경기광주시청,1588-1519
240,2019-07-18,2019-07-18 ~ 2019-09-17,한양시스템(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",2,시간제,월급,"1,300,000",,무관,무관,무관,,    ,경기도 안양시 만안구 박달로 476대원빌딩 2층 한양시스템(주),중소,구리시청,1588-1519
241,2019-07-18,2019-07-18 ~ 2019-09-17,남악아이씨개발주유소,주유원(주유판매원),1,상용직,월급,"1,900,000",,무관,무관,무관,,    ,전라남도 무안군 삼향읍 남악5로72번길 81-55,중소,무안군청,1588-1519
242,2019-07-18,2019-07-18 ~ 2019-09-17,사)경남지체장애인협회 거창군지회,주차 관리·안내원,2,시간제,시급,"8,350",,무관,무관,무관,,    ,경상남도 거창군 거창읍 송정1길 24-15장애인복합문화관,중소,거창군청,1588-1519
243,2019-07-19,2019-07-19 ~ 2019-07-31,대한무역투자진흥공사,사무 보조원(공공기관),10,계약직,월급,"1,850,000",,무관,무관,고졸,,    ,서울특별시 서초구 헌릉로 13(염곡동),중소,서울동부지사,1588-1519
244,2019-07-19,2019-07-19 ~ 2019-07-31,(주)신세계아이앤씨,IT 기술지원 전문가,6,상용직,연봉,"30,000,000",,무관,무관,고졸,전산학·컴퓨터공학,    ,서울특별시 중구 소공로 48프라임타워 10층 (회현동2가),중소,서울지역본부,1588-1519
245,2019-07-19,2019-07-19 ~ 2019-08-04,에스케이씨앤씨(주),사회복지사(사회복지시설),1,계약직,연봉,"27,000,000",,경력,2년0개월,초대졸,,    ,경기도 성남시 분당구 성남대로331번길 8(정자동),대기업,서울지역본부,1588-1519
246,2019-07-19,2019-07-19 ~ 2019-07-30,선덕고등학교,환경 미화원,1,계약직,월급,"1,870,000",,무관,0년개월,무관,,    ,서울특별시 도봉구 쌍문4동 선덕학교263번지 선덕고등학교,중소,서울지역본부,1588-1519
247,2019-07-19,2019-07-19 ~ 2019-08-01,스마일위드 주식회사,주방 보조원(일반 음식점),1,상용직,월급,"1,965,000",,무관,0년개월,무관,,    ,서울특별시 중구 을지로 30롯데호텔(소공동),개인,서울지역본부,1588-1519
248,2019-07-19,2019-07-19 ~ 2019-08-16,롯데푸드(주),식품 분야 단순 종사원,5,계약직,시급,"8,350",,무관,무관,무관,,    ,서울특별시 영등포구 양평로21길 10롯데삼강 (양평동5가),대기업,강원지사,1588-1519
249,2019-07-19,2019-07-19 ~ 2019-07-31,(주)부영주택,환경 미화원,1,계약직,월급,"1,270,000",,무관,무관,무관,,    ,"경상북도 포항시 남구 오천읍 남원로 86-59부영 3차 2동상가 , 202호",중소,전남지사,1588-1519
250,2019-07-19,2019-07-19 ~ 2019-08-05,한국농촌경제연구원,사무 보조원(공공기관),2,계약직,일급,"70,000",,무관,무관,무관,,    ,전라남도 나주시 빛가람로 601(빛가람동) 601,"공사,공공",전남지사,1588-1519
251,2019-07-19,2019-07-19 ~ 2019-07-31,한국지체장애인협회중앙회,사무 보조원(일반사업체),1,계약직,시급,"8,350",,무관,무관,고졸,,    ,서울특별시 영등포구 의사당대로 22이룸센터 301호 (사)한국지체장애인협회 (여의도동),중소,한국지체장애인협회중앙회,1588-1519
252,2019-07-19,2019-07-19 ~ 2019-09-10,(주)맨파워코리아,고객 상담원(홈 및 인터넷쇼핑몰·택배·운송),6,계약직,월급,"2,235,740",,무관,무관,초대졸,,    ,서울특별시 강남구 테헤란로 409동신빌딩 11층 (삼성동),중소,서울강남고용,1588-1519
253,2019-07-19,2019-07-19 ~ 2019-08-31,주식회사서조코퍼레이션,가전 판매원(컴퓨터 포함),3,상용직,연봉,"35,000,000",,무관,무관,고졸,,    ,서울특별시 중구 통일로 8612층 6.7.8호 (순화동),중소,서울고용,1588-1519
254,2019-07-19,2019-07-19 ~ 2019-09-18,플레이스포 주식회사,총무 및 일반 사무원,1,계약직,연봉,"24,000,000",,무관,무관,고졸,,    ,서울특별시 성동구 연무장7길 115층,중소,서울동부고용,1588-1519
255,2019-07-19,2019-07-19 ~ 2019-09-17,씨엔티테크(주),웹 개발자(웹 엔지니어·웹 프로그래머),1,계약직,연봉,"26,000,000",,경력,1년0개월,초대졸,전산학·컴퓨터공학,정보처리기사  정보처리기능사  ,서울특별시 서대문구 증가로29길 35씨엔티테크빌딩 (북가좌동),중소,서울서부고용,1588-1519
256,2019-07-19,2019-07-19 ~ 2019-09-18,우림특허법률사무소,특허·저작권 사무원,1,상용직,월급,"2,000,000",,경력,1년0개월,초대졸,,    ,서울특별시 마포구 동교로 1993층 (동교동),중소,서울서부고용,1588-1519
257,2019-07-19,2019-07-19 ~ 2019-09-15,한영회계법인,총무 및 일반 사무원,20,상용직,시급,"8,350",,무관,무관,무관,,    ,서울특별시 영등포구 여의공원로 111태영빌딩 8층 (여의도동),중소,서울남부고용,1588-1519
258,2019-07-19,2019-07-19 ~ 2019-08-02,(주)케이퍼슨,지게차 운전원,1,계약직,월급,"2,800,000",,무관,무관,무관,,지게차운전기능사  지게차기능사1급  ,"서울특별시 관악구 관악로37길 15401호 (봉천동, 동아타운21아파트)",중소,서울관악고용,1588-1519
259,2019-07-19,2019-07-19 ~ 2019-07-29,부산창조경제혁신센터,경영 기획 사무원,1,계약직,연봉,"22,000,000",,신입,무관,무관,,    ,부산광역시 해운대구 센텀중앙로 78센텀그린타워 3층 301호 (우동),중소,부산동부고용,1588-1519
260,2019-07-19,2019-07-19 ~ 2019-07-29,부산창조경제혁신센터,총무 및 일반 사무원,1,계약직,연봉,"22,000,000",,신입,무관,무관,,    ,부산광역시 해운대구 센텀중앙로 78센텀그린타워 3층 301호 (우동),중소,부산동부고용,1588-1519
261,2019-07-19,2019-07-19 ~ 2019-09-18,주)삼마기업,제조 단순 종사원,20,계약직,일급,"90,000",,무관,무관,무관,,    ,경상남도 거제시 장평3로 80내 주)삼마기업 (장평동),중소,거제센터,1588-1519
262,2019-07-19,2019-07-19 ~ 2019-08-02,원화중학교,사무 보조원(공공기관),1,계약직,월급,"1,750,000",,무관,무관,고졸,,    ,대구광역시 달서구 당산로30길 30원화중학교 (성당동),중소,대구서부고용,1588-1519
263,2019-07-19,2019-07-19 ~ 2019-08-02,(재)운경재단경산시재가노인복지센터,기타 사회복지 종사원,1,계약직,월급,"1,098,525",,신입,무관,무관,,    ,경상북도 경산시 원효로26길 5경산시재가노인지원서비스센터 (계양동),중소,경산센터,1588-1519
264,2019-07-19,2019-07-19 ~ 2019-09-18,만승자립원,종이제품 생산기계 조작원,1,계약직,시급,"8,350",,무관,무관,무관,,    ,대구광역시 동구 팔공산로 225만승자립원 (덕곡동),중소,대구동부,1588-1519
265,2019-07-19,2019-07-19 ~ 2019-09-18,씨앗드림,광고디자이너,1,계약직,월급,"1,750,000",,경력,1년0개월,무관,시각디자인,    ,경상북도 포항시 남구 구룡포읍 구룡포길 96-2,중소,포항고용,1588-1519
266,2019-07-19,2019-07-19 ~ 2019-09-18,씨앗드림,책·인쇄물·출판 디자이너,1,상용직,월급,"1,750,000",,무관,무관,무관,,    ,경상북도 포항시 남구 구룡포읍 구룡포길 96-2,중소,포항고용,1588-1519
267,2019-07-19,2019-07-19 ~ 2019-09-18,채움병원,한의사,1,계약직,연봉,"50,000,000",,경력,1년0개월,대졸,,    ,경상북도 포항시 북구 해동로 303채움병원 (동빈1가),중소,포항고용,1588-1519
268,2019-07-19,2019-07-19 ~ 2019-09-18,주식회사엘디전자,기계공학 기술자 및 연구원,2,상용직,연봉,"25,000,000",,경력,2년0개월,무관,기계공학,자동차운전면허    ,경상북도 구미시 옥계2공단로 179-8LDE,중소,구미고용,1588-1519
269,2019-07-19,2019-07-19 ~ 2019-09-18,주식회사엘디전자,C언어 및 그 외 프로그래밍 언어 전문가,2,상용직,연봉,"25,000,000",,경력,2년0개월,무관,전자공학,    ,경상북도 구미시 옥계2공단로 179-8LDE,중소,구미고용,1588-1519
270,2019-07-19,2019-07-19 ~ 2019-09-18,주식회사엘디전자,산업용 전자제품 개발 기술자 및 연구원,1,상용직,연봉,"25,000,000",,무관,무관,무관,전자공학,자동차운전면허    ,경상북도 구미시 옥계2공단로 179-8LDE,중소,구미고용,1588-1519
271,2019-07-19,2019-07-19 ~ 2019-09-18,(주)유성전자,자동차 부분품 조립·검사원,2,시간제,시급,"8,350",,무관,무관,무관,,    ,경기도 화성시 동탄면 동부대로970번길 93유성전자,중소,수원고용,1588-1519
272,2019-07-19,2019-07-19 ~ 2019-09-18,(주)동양전기,기타 전기·전자 설비 조작원,1,상용직,월급,"1,745,150",,경력,2년0개월,무관,전기공학,전기기사    ,경기도 화성시 팔탄면 건달산로 219-8,중소,화성센터,1588-1519
273,2019-07-19,2019-07-19 ~ 2019-09-17,하영코퍼레이션,웹 디자이너,1,계약직,월급,"1,350,000",,무관,무관,무관,,    ,경기도 김포시 통진읍 고정1로 45,중소,김포고용센터,1588-1519
274,2019-07-19,2019-07-19 ~ 2019-07-31,경기장애인자립생활센터협의회 김포시지부,회계 사무원,1,상용직,연봉,"25,000,000",,무관,무관,무관,,사회복지사  자동차운전면허1종보통  ,경기도 김포시 사우중로 78밀레니엄프라자 5층 (사우동),중소,김포고용센터,1588-1519
275,2019-07-19,2019-07-19 ~ 2019-08-12,화인산업(주),기계·금속 분야 단순 종사원,6,상용직,시급,"8,350",,무관,0년0개월,무관,,    ,경기도 시흥시 마유로118번길 84 (정왕동),중소,시흥센터,1588-1519
276,2019-07-19,2019-07-19 ~ 2019-09-18,포천하우징조립식,건설현장반장,1,상용직,월급,"4,500,000",,경력,3년0개월,무관,,    ,경기도 포천시 신북면 호국로 2420포천하우징 조립식,중소,의정부고용,1588-1519
