,0,1,2,3,4
191,2019-01-02,서울특별시,은평구,응암제1동,11
192,2019-01-02,서울특별시,강남구,일원1동,10
193,2019-01-02,서울특별시,강북구,번제1동,10
194,2019-01-02,서울특별시,강서구,화곡제1동,10
195,2019-01-02,서울특별시,금천구,독산제1동,10
196,2019-01-02,서울특별시,동대문구,장안제3동,10
197,2019-01-02,서울특별시,동대문구,전농제2동,10
198,2019-01-02,서울특별시,서초구,내곡동,10
199,2019-01-02,서울특별시,양천구,신정7동,10
200,2019-01-02,서울특별시,은평구,응암제3동,10
201,2019-01-02,서울특별시,중구,회현동,10
202,승차일자,시/도,시/군/구,동/읍/면,승차건수
203,2019-01-03,서울특별시,서대문구,신촌동,85
204,2019-01-03,서울특별시,노원구,하계1동,80
205,2019-01-03,서울특별시,노원구,상계6.7동,74
206,2019-01-03,서울특별시,은평구,역촌동,70
207,2019-01-03,서울특별시,마포구,상암동,51
208,2019-01-03,서울특별시,마포구,성산제2동,50
209,2019-01-03,서울특별시,영등포구,영등포동,50
210,2019-01-03,서울특별시,강북구,인수동,48
211,2019-01-03,서울특별시,동작구,신대방제2동,43
212,2019-01-03,서울특별시,양천구,신정3동,38
213,2019-01-03,서울특별시,강서구,등촌제3동,36
214,2019-01-03,서울특별시,중랑구,신내1동,36
215,2019-01-03,서울특별시,송파구,풍납2동,34
216,2019-01-03,서울특별시,은평구,구산동,34
217,2019-01-03,서울특별시,광진구,구의제2동,32
218,2019-01-03,서울특별시,양천구,신정6동,32
219,2019-01-03,서울특별시,종로구,이화동,31
220,2019-01-03,서울특별시,강서구,가양제2동,29
221,2019-01-03,서울특별시,영등포구,대림제3동,28
222,2019-01-03,서울특별시,관악구,보라매동,26
223,2019-01-03,서울특별시,노원구,중계2.3동,26
224,2019-01-03,서울특별시,강동구,고덕제1동,25
225,2019-01-03,서울특별시,강동구,둔촌제2동,25
226,2019-01-03,서울특별시,강서구,방화제1동,25
227,2019-01-03,서울특별시,동대문구,휘경제2동,25
228,2019-01-03,서울특별시,도봉구,도봉제2동,24
229,2019-01-03,서울특별시,영등포구,여의동,23
230,2019-01-03,서울특별시,노원구,월계2동,22
231,2019-01-03,서울특별시,노원구,상계1동,21
232,2019-01-03,서울특별시,노원구,상계2동,21
233,2019-01-03,서울특별시,구로구,구로제5동,20
234,2019-01-03,서울특별시,노원구,공릉1.3동,19
235,2019-01-03,서울특별시,노원구,월계3동,19
236,2019-01-03,서울특별시,도봉구,쌍문제3동,19
237,2019-01-03,서울특별시,마포구,대흥동,19
238,2019-01-03,서울특별시,성동구,왕십리도선동,19
239,2019-01-03,서울특별시,중랑구,면목제3.8동,19
240,2019-01-03,서울특별시,강동구,길동,18
241,2019-01-03,서울특별시,강북구,번제3동,18
242,2019-01-03,서울특별시,서초구,내곡동,18
243,2019-01-03,서울특별시,은평구,진관동,18
244,2019-01-03,서울특별시,종로구,종로1.2.3.4가동,18
245,2019-01-03,서울특별시,강남구,세곡동,17
246,2019-01-03,서울특별시,강동구,천호제2동,17
247,2019-01-03,서울특별시,노원구,중계1동,17
248,2019-01-03,서울특별시,강동구,상일동,16
249,2019-01-03,서울특별시,강서구,가양제1동,16
250,2019-01-03,서울특별시,강서구,발산제1동,16
251,2019-01-03,서울특별시,서대문구,연희동,16
252,2019-01-03,서울특별시,서대문구,홍은제2동,16
253,2019-01-03,서울특별시,서초구,반포4동,16
254,2019-01-03,서울특별시,서초구,양재1동,16
255,2019-01-03,서울특별시,성북구,길음제1동,16
256,2019-01-03,서울특별시,중랑구,상봉제1동,16
257,2019-01-03,서울특별시,강남구,수서동,15
258,2019-01-03,서울특별시,강서구,방화제2동,15
259,2019-01-03,서울특별시,성동구,마장동,15
260,2019-01-03,서울특별시,성북구,종암동,15
261,2019-01-03,서울특별시,양천구,목5동,15
262,2019-01-03,서울특별시,중랑구,망우본동,15
263,2019-01-03,서울특별시,강동구,강일동,14
264,2019-01-03,서울특별시,강북구,번제2동,14
265,2019-01-03,서울특별시,양천구,신정4동,14
266,2019-01-03,서울특별시,구로구,오류제2동,13
267,2019-01-03,서울특별시,노원구,중계4동,13
268,2019-01-03,서울특별시,동대문구,회기동,13
269,2019-01-03,서울특별시,서대문구,남가좌제2동,13
270,2019-01-03,서울특별시,송파구,가락본동,13
271,2019-01-03,서울특별시,송파구,장지동,13
272,2019-01-03,서울특별시,용산구,효창동,13
273,2019-01-03,서울특별시,강남구,도곡1동,12
274,2019-01-03,서울특별시,강남구,일원1동,12
275,2019-01-03,서울특별시,강서구,방화제3동,12
276,2019-01-03,서울특별시,관악구,은천동,12
277,2019-01-03,서울특별시,광진구,화양동,12
278,2019-01-03,서울특별시,구로구,구로제2동,12
279,2019-01-03,서울특별시,노원구,공릉2동,12
280,2019-01-03,서울특별시,노원구,하계2동,12
281,2019-01-03,서울특별시,서대문구,북가좌제2동,12
282,2019-01-03,서울특별시,성동구,사근동,12
283,2019-01-03,서울특별시,영등포구,당산제1동,12
284,2019-01-03,서울특별시,은평구,응암제2동,12
285,2019-01-03,서울특별시,종로구,청운효자동,12
286,2019-01-03,서울특별시,강남구,역삼1동,11
287,2019-01-03,서울특별시,강북구,송천동,11
288,2019-01-03,서울특별시,강서구,우장산동,11
289,2019-01-03,서울특별시,강서구,화곡제1동,11
290,2019-01-03,서울특별시,도봉구,방학제1동,11
291,2019-01-03,서울특별시,도봉구,창제1동,11
292,2019-01-03,서울특별시,동대문구,신설동,11
293,2019-01-03,서울특별시,동대문구,전농제2동,11
