사업장명,모집직종,구인인원,고용형태,임금형태,임금,입사형태,요구경력,요구학력,사업장 주소,GU_NM,EMD_NM,Latitude,Longitude
(주)커리어넷,직업상담사,1,계약직,연봉,"21,000,000",신입,무관,초대졸,"서울특별시 구로구 디지털로32가길 16파트너스타워 2차 4층, 13층",구로구,구로동,37.4827936,126.898563
친절한돼지C,일반 음식점 서빙원,2,계약직,월급,"2,400,000",무관,무관,무관,서울특별시 구로구 새말로 21569-6 (구로동),구로구,구로동,37.5047436,126.8874857
사회복지법인삼농복지재단삼농실버마을,시설 요양보호사(노인요양사),1,계약직,월급,"1,900,000",무관,무관,무관,서울특별시 구로구 오류로8길 84- (오류동),구로구,오류동,37.4926347,126.8446503
(주)레몬헬스케어,웹 개발자,5,상용직,연봉,"32,000,000",경력,2년0개월,무관,"서울특별시 금천구 가산디지털1로 145에이스하이엔드타워3차,1005호 (가산동)",금천구,가산동,37.4777489,126.8815383
녹색개발(주),경리 사무원(아파트·빌딩),1,계약직,월급,"2,100,000",무관,무관,고졸,서울특별시 금천구 가산디지털1로 1902호 (가산동),금천구,가산동,37.468635,126.8872075
녹색개발(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,계약직,월급,"1,500,000",경력,3년0개월,무관,서울특별시 금천구 가산디지털1로 1902호 (가산동),금천구,가산동,37.468635,126.8872075
(주)제이에스아이티,"범용 응용 소프트웨어 프로그래머(ERP,정보처리,재무관리 등)",2,계약직,월급,"3,000,000",경력,20년0개월,무관,서울특별시 금천구 가산디지털1로 1더루벤스밸리 4층 403~404호,금천구,가산동,37.4662108,126.8870784
주식회사 컴트리,컴퓨터 하드웨어 기술자 및 연구원,2,상용직,연봉,"30,000,000",경력,5년0개월,초대졸,"서울특별시 금천구 가산디지털1로 30에이스하이앤드타워10차 17층, 1712호 (가산동)",금천구,가산동,37.4688806,126.8872538
디에스글로벌(주),경·소형 화물차 운전원,1,계약직,월급,"2,000,000",무관,무관,무관,서울특별시 금천구 가산디지털2로 1073층 디에스글로벌 (가산동),금천구,가산동,37.4776158,126.8794588
오스템임플란트(주),기타 기계 조립·검사원,5,계약직,시급,"9,000",무관,무관,무관,서울특별시 금천구 가산디지털2로 123(가산동),금천구,가산동,37.4787503,126.8786525
삼우안전관리(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,상용직,월급,"1,197,390",무관,무관,무관,서울특별시 금천구 가산디지털2로 98롯데IT캐슬2동207호 (가산동),금천구,가산동,37.4770718,126.8809537
삼우안전관리(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,시간제,월급,"1,088,840",무관,무관,무관,서울특별시 금천구 가산디지털2로 98롯데IT캐슬2동207호 (가산동),금천구,가산동,37.4770718,126.8809537
삼우안전관리(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,상용직,월급,"1,410,000",무관,무관,무관,서울특별시 금천구 가산디지털2로 98롯데IT캐슬2동207호 (가산동),금천구,가산동,37.4770718,126.8809537
삼우안전관리(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,상용직,월급,"1,306,200",무관,무관,무관,서울특별시 금천구 가산디지털2로 98롯데IT캐슬2동207호 (가산동),금천구,가산동,37.4770718,126.8809537
삼우안전관리(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,상용직,월급,"1,080,000",무관,무관,무관,서울특별시 금천구 가산디지털2로 98롯데IT캐슬2동207호 (가산동),금천구,가산동,37.4770718,126.8809537
삼우안전관리(주),경비원(건물 관리원),1,계약직,월급,"2,030,000",경력,무관,무관,서울특별시 금천구 가산디지털2로 98롯데IT캐슬2동207호 (가산동),금천구,가산동,37.4770718,126.8809537
사단법인 모두누리,일반 영업원,1,계약직,시급,"8,350",신입,무관,무관,서울특별시 금천구 범안로 1138715 B02호 (가산동),금천구,가산동,37.4661696,126.8943207
사단법인 모두누리,사무 보조원(일반사업체),2,계약직,시급,"8,350",무관,무관,무관,서울특별시 금천구 범안로 1138715 B02호 (가산동),금천구,가산동,37.4661696,126.8943207
보고정보시스템(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,상용직,시급,"8,350",무관,무관,고졸,서울특별시 금천구 벚꽃로 286리더스타워 508호 (가산동),금천구,가산동,37.4803075,126.8841943
케이비엠플러스,경비원(건물 관리원),1,파견근로,월급,"2,004,000",신입,무관,무관,서울특별시 금천구 시흥대로 3022층 (독산동),금천구,독산동,37.4608459,126.897128
케이비엠플러스,아파트·빌라 경비원,2,파견근로,월급,"1,903,000",경력,무관,무관,서울특별시 금천구 시흥대로 3022층 (독산동),금천구,독산동,37.4608459,126.897128
케이비엠플러스,아파트·빌라 경비원,1,파견근로,월급,"1,800,000",경력,무관,무관,서울특별시 금천구 시흥대로 3022층 (독산동),금천구,독산동,37.4608459,126.897128
제일종합관리(주),빌딩 관리소장,1,계약직,월급,"2,500,000",경력,2년0개월,고졸,서울특별시 금천구 시흥대로 84윤빌딩 301호 (시흥동),금천구,시흥동,37.4415547,126.9038634
(주)한빛티에스,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",2,계약직,월급,"1,306,180",무관,무관,무관,서울특별시 노원구 동일로191길 322층 (공릉동),노원구,공릉동,37.6255411,127.072448
(사)한국기능장애인협회(드림장애인작업장),기타 의복 제조원,2,상용직,시급,"8,350",경력,1년0개월,무관,서울특별시 도봉구 도봉로 6672층,도봉구,도봉동,37.6819792,127.0453857
함께가자장애인자립생활센타 도봉지서,사회복지사,2,계약직,시급,"8,350",무관,0년0개월,무관,서울특별시 도봉구 시루봉로 130정목빌딩 201호 (방학동),도봉구,방학동,37.6623793,127.0277459
