DATE,SI_NM,GU_NM,EMD_NM,TAXI_CNT
2019-01-03,서울특별시,서대문구,북가좌제2동,12
2019-01-03,서울특별시,성동구,사근동,12
2019-01-03,서울특별시,영등포구,당산제1동,12
2019-01-03,서울특별시,은평구,응암제2동,12
2019-01-03,서울특별시,종로구,청운효자동,12
2019-01-03,서울특별시,강남구,역삼1동,11
2019-01-03,서울특별시,강북구,송천동,11
2019-01-03,서울특별시,강서구,우장산동,11
2019-01-03,서울특별시,강서구,화곡제1동,11
2019-01-03,서울특별시,도봉구,방학제1동,11
2019-01-03,서울특별시,도봉구,창제1동,11
2019-01-03,서울특별시,동대문구,신설동,11
2019-01-03,서울특별시,동대문구,전농제2동,11
2019-01-03,서울특별시,동작구,상도제1동,11
2019-01-03,서울특별시,동작구,상도제2동,11
2019-01-03,서울특별시,동작구,흑석동,11
2019-01-03,서울특별시,마포구,도화동,11
2019-01-03,서울특별시,마포구,망원제1동,11
2019-01-03,서울특별시,서초구,서초1동,11
2019-01-03,서울특별시,성북구,월곡제2동,11
2019-01-03,서울특별시,송파구,오금동,11
2019-01-03,서울특별시,송파구,잠실6동,11
2019-01-04,서울특별시,노원구,하계1동,79
2019-01-04,서울특별시,서대문구,신촌동,79
2019-01-04,서울특별시,노원구,상계6.7동,78
2019-01-04,서울특별시,은평구,역촌동,60
2019-01-04,서울특별시,마포구,성산제2동,53
2019-01-04,서울특별시,강서구,방화제1동,44
2019-01-04,서울특별시,강북구,인수동,42
2019-01-04,서울특별시,강동구,고덕제1동,39
2019-01-04,서울특별시,마포구,상암동,39
2019-01-04,서울특별시,영등포구,영등포동,39
2019-01-04,서울특별시,종로구,이화동,37
2019-01-04,서울특별시,중랑구,신내1동,36
2019-01-04,서울특별시,도봉구,도봉제2동,35
2019-01-04,서울특별시,관악구,보라매동,33
2019-01-04,서울특별시,동작구,신대방제2동,33
2019-01-04,서울특별시,노원구,중계2.3동,32
2019-01-04,서울특별시,송파구,풍납2동,30
2019-01-04,서울특별시,강서구,등촌제3동,28
2019-01-04,서울특별시,광진구,구의제2동,28
2019-01-04,서울특별시,양천구,신정3동,27
2019-01-04,서울특별시,성북구,길음제1동,26
2019-01-04,서울특별시,양천구,신정6동,26
2019-01-04,서울특별시,은평구,구산동,25
2019-01-04,서울특별시,구로구,구로제5동,24
2019-01-04,서울특별시,강동구,둔촌제2동,23
2019-01-04,서울특별시,노원구,상계2동,23
2019-01-04,서울특별시,종로구,종로1.2.3.4가동,23
2019-01-04,서울특별시,서대문구,연희동,22
2019-01-04,서울특별시,양천구,목5동,22
2019-01-04,서울특별시,강서구,가양제2동,21
2019-01-04,서울특별시,강북구,번제3동,20
2019-01-04,서울특별시,강남구,세곡동,19
2019-01-04,서울특별시,노원구,상계1동,19
2019-01-04,서울특별시,노원구,월계2동,19
2019-01-04,서울특별시,성동구,왕십리도선동,19
2019-01-04,서울특별시,강동구,강일동,18
2019-01-04,서울특별시,강동구,천호제2동,18
2019-01-04,서울특별시,강서구,가양제1동,18
2019-01-04,서울특별시,노원구,월계3동,18
2019-01-04,서울특별시,양천구,신정4동,18
2019-01-04,서울특별시,강동구,길동,17
2019-01-04,서울특별시,강동구,상일동,17
2019-01-04,서울특별시,강북구,삼각산동,17
2019-01-04,서울특별시,동작구,흑석동,17
2019-01-04,서울특별시,성북구,길음제2동,17
2019-01-04,서울특별시,은평구,진관동,17
2019-01-04,서울특별시,노원구,공릉1.3동,16
2019-01-04,서울특별시,서초구,서초1동,16
2019-01-04,서울특별시,강남구,수서동,15
2019-01-04,서울특별시,강북구,번제2동,15
2019-01-04,서울특별시,성동구,마장동,15
2019-01-04,서울특별시,성북구,월곡제2동,15
2019-01-04,서울특별시,송파구,오금동,15
2019-01-04,서울특별시,송파구,장지동,15
2019-01-04,서울특별시,영등포구,여의동,15
2019-01-04,서울특별시,금천구,독산제1동,14
2019-01-04,서울특별시,동대문구,신설동,14
2019-01-04,서울특별시,마포구,공덕동,14
2019-01-04,서울특별시,마포구,대흥동,14
2019-01-04,서울특별시,영등포구,대림제3동,14
2019-01-04,서울특별시,중랑구,면목제3.8동,14
2019-01-04,서울특별시,중랑구,상봉제1동,14
2019-01-04,서울특별시,중랑구,신내2동,14
2019-01-04,서울특별시,강남구,도곡1동,13
2019-01-04,서울특별시,강남구,일원2동,13
2019-01-04,서울특별시,노원구,상계3.4동,13
2019-01-04,서울특별시,동대문구,휘경제2동,13
2019-01-04,서울특별시,양천구,신정7동,13
2019-01-04,서울특별시,종로구,교남동,13
2019-01-04,서울특별시,강동구,천호제1동,12
2019-01-04,서울특별시,노원구,월계1동,12
2019-01-04,서울특별시,도봉구,방학제1동,12
2019-01-04,서울특별시,도봉구,창제1동,12
2019-01-04,서울특별시,동작구,상도제1동,12
2019-01-04,서울특별시,서대문구,홍은제2동,12
2019-01-04,서울특별시,서초구,내곡동,12
2019-01-04,서울특별시,양천구,목1동,12
2019-01-04,서울특별시,중랑구,망우본동,12
2019-01-04,서울특별시,강북구,송중동,11
2019-01-04,서울특별시,강서구,가양제3동,11
2019-01-04,서울특별시,강서구,화곡제1동,11
2019-01-04,서울특별시,관악구,낙성대동,11
2019-01-04,서울특별시,관악구,은천동,11
2019-01-04,서울특별시,구로구,구로제3동,11
2019-01-04,서울특별시,노원구,하계2동,11
2019-01-04,서울특별시,서초구,방배2동,11
2019-01-04,서울특별시,송파구,가락본동,11
2019-01-04,서울특별시,용산구,한강로동,11
2019-01-04,서울특별시,종로구,청운효자동,11
2019-01-04,서울특별시,강남구,삼성1동,10
2019-01-04,서울특별시,강남구,일원1동,10
2019-01-04,서울특별시,강북구,수유제3동,10
2019-01-04,서울특별시,구로구,구로제2동,10
2019-01-04,서울특별시,구로구,오류제2동,10
2019-01-04,서울특별시,도봉구,창제4동,10
2019-01-04,서울특별시,마포구,성산제1동,10
2019-01-04,서울특별시,서대문구,북가좌제2동,10
2019-01-04,서울특별시,송파구,거여2동,10
2019-01-04,서울특별시,용산구,효창동,10
2019-01-05,서울특별시,영등포구,여의동,50
2019-01-05,서울특별시,종로구,이화동,24
2019-01-05,서울특별시,강남구,수서동,16
2019-01-05,서울특별시,노원구,상계6.7동,16
2019-01-05,서울특별시,노원구,하계1동,16
2019-01-05,서울특별시,마포구,성산제2동,16
2019-01-05,서울특별시,서대문구,신촌동,16
2019-01-05,서울특별시,광진구,구의제2동,15
2019-01-05,서울특별시,노원구,중계2.3동,15
2019-01-05,서울특별시,강서구,등촌제3동,14
2019-01-05,서울특별시,송파구,풍납2동,14
2019-01-05,서울특별시,용산구,한강로동,14
2019-01-05,서울특별시,종로구,종로1.2.3.4가동,14
2019-01-05,서울특별시,마포구,상암동,13
2019-01-05,서울특별시,영등포구,영등포동,13
2019-01-05,서울특별시,강북구,번제3동,12
2019-01-05,서울특별시,강서구,가양제1동,12
2019-01-05,서울특별시,중랑구,신내1동,12
2019-01-05,서울특별시,강남구,세곡동,11
2019-01-05,서울특별시,강동구,길동,11
2019-01-05,서울특별시,강동구,천호제2동,11
