EMD_CD,EMD_NM,DISABLED_NUM,SHOP_CNT,TAXI_CNT,EMPLOYEENUM,CENTER_CNT,CARD
11200104,도선동,554.0,0,0.0,1.0,0,2147
11170120,도원동,0.0,0,0.0,0.0,0,0
11440104,도화동,395.0,1,73.0,1.0,0,1557
11545102,독산동,2822.0,11,4029.0,4.0,1,1111
11290103,돈암동,1288.0,5,50.0,1.0,1,2901
11110153,돈의동,0.0,0,0.0,0.0,0,0
11440121,동교동,0.0,4,0.0,1.0,0,0
11170132,동빙고동,0.0,0,0.0,0.0,0,0
11290116,동선동1가,301.0,1,48.0,0.0,0,0
11290117,동선동2가,0.0,0,0.0,0.0,0,0
11290118,동선동3가,0.0,0,0.0,0.0,0,0
11290119,동선동4가,0.0,0,0.0,0.0,1,0
11290120,동선동5가,0.0,0,0.0,0.0,0,0
11290104,동소문동1가,0.0,0,0.0,0.0,0,0
11290105,동소문동2가,0.0,0,0.0,0.0,0,0
11290106,동소문동3가,0.0,0,0.0,0.0,0,0
11290107,동소문동4가,0.0,0,0.0,0.0,0,0
11290108,동소문동5가,0.0,1,0.0,0.0,0,0
11290109,동소문동6가,0.0,0,0.0,0.0,0,0
11290110,동소문동7가,0.0,0,0.0,0.0,0,0
11110168,동숭동,0.0,0,0.0,0.0,1,0
11170107,동자동,0.0,0,0.0,0.0,0,0
11590106,동작동,0.0,0,0.0,0.0,0,0
11740106,둔촌동,556.0,0,6713.0,0.0,0,3102
11500102,등촌동,2831.0,2,9980.0,0.0,2,6076
11500105,마곡동,0.0,3,0.0,13.0,2,0
11200105,마장동,667.0,2,3731.0,0.0,3,4062
11710114,마천동,1416.0,2,167.0,0.0,2,2651
11440107,마포동,0.0,0,0.0,0.0,0,0
11140173,만리동1가,0.0,0,0.0,0.0,0,0
11140174,만리동2가,0.0,1,0.0,0.0,0,0
11260105,망우동,1647.0,2,2747.0,0.0,0,5160
11440123,망원동,926.0,2,3929.0,0.0,0,1645
11260101,면목동,4250.0,4,4265.0,0.0,1,2734
11140126,명동1가,0.0,0,0.0,1.0,0,0
11140127,명동2가,0.0,2,0.0,0.0,0,0
11110170,명륜1가,0.0,0,0.0,0.0,0,0
11110171,명륜2가,0.0,0,0.0,0.0,0,0
11110173,명륜3가,0.0,0,0.0,0.0,0,0
11110172,명륜4가,0.0,0,0.0,0.0,0,0
11740101,명일동,695.0,5,2226.0,0.0,1,1800
11470102,목동,2331.0,14,4496.0,0.0,0,2518
11110151,묘동,0.0,0,0.0,0.0,0,0
11140101,무교동,0.0,0,0.0,0.0,0,0
11110187,무악동,157.0,0,0.0,0.0,0,490
11140164,무학동,0.0,0,0.0,0.0,0,0
11260104,묵동,1384.0,1,3217.0,0.0,0,1854
11140136,묵정동,0.0,0,0.0,0.0,0,0
11560119,문래동1가,0.0,0,0.0,0.0,0,0
11560120,문래동2가,0.0,0,0.0,0.0,0,0
11560121,문래동3가,575.0,4,114.0,2.0,0,5748
11560122,문래동4가,0.0,0,0.0,0.0,0,0
11560123,문래동5가,0.0,0,0.0,0.0,0,0
11560124,문래동6가,0.0,0,0.0,0.0,0,0
11170122,문배동,0.0,0,0.0,0.0,0,1344
11710108,문정동,607.0,5,512.0,10.0,1,2355
11410104,미근동,0.0,0,0.0,0.0,0,0
11305101,미아동,3063.0,11,6962.0,0.0,0,1101
11650107,반포동,927.0,7,3010.0,3.0,0,6688
11650101,방배동,1531.0,5,194.0,0.0,6,1958
11140153,방산동,0.0,0,0.0,0.0,0,0
11710111,방이동,878.0,3,1668.0,5.0,3,1186
11320106,방학동,2893.0,4,3996.0,2.0,1,1185
11500109,방화동,3081.0,5,16855.0,0.0,2,1067
11305102,번동,2463.0,2,11148.0,0.0,2,1500
11170136,보광동,324.0,1,12.0,0.0,0,747
11290130,보문동1가,0.0,0,0.0,1.0,0,0
11290131,보문동2가,0.0,0,0.0,0.0,0,0
11290132,보문동3가,0.0,0,0.0,0.0,0,0
11290126,보문동4가,0.0,2,0.0,0.0,0,0
11290127,보문동5가,0.0,0,0.0,0.0,0,0
11290128,보문동6가,0.0,1,0.0,0.0,0,0
11290129,보문동7가,345.0,1,103.0,0.0,0,1116
11590104,본동,0.0,0,0.0,0.0,0,0
11140119,봉래동1가,0.0,0,0.0,0.0,0,0
11140120,봉래동2가,0.0,3,0.0,0.0,0,0
11410115,봉원동,0.0,0,0.0,0.0,0,0
11110152,봉익동,0.0,0,0.0,0.0,0,0
11620101,봉천동,5487.0,14,9927.0,4.0,4,3956
11110184,부암동,149.0,0,25.0,0.0,0,484
11410119,북가좌동,1278.0,2,881.0,1.0,0,1893
11410110,북아현동,709.0,0,3174.0,0.0,2,597
11140113,북창동,0.0,0,0.0,0.0,0,4764
11380103,불광동,1646.0,7,474.0,0.0,1,1556
11110144,사간동,0.0,0,0.0,0.0,0,0
11200106,사근동,258.0,0,1450.0,0.0,0,2130
11590107,사당동,1953.0,5,21.0,1.0,1,392
11110115,사직동,170.0,0,1058.0,0.0,0,3421
11140157,산림동,0.0,1,0.0,0.0,0,0
11170115,산천동,0.0,0,6.0,0.0,0,730
11140107,삼각동,747.0,0,0.0,0.0,0,0
11290111,삼선동1가,0.0,1,0.0,0.0,0,0
11290112,삼선동2가,0.0,0,0.0,0.0,0,0
11290113,삼선동3가,0.0,0,0.0,0.0,0,0
11290114,삼선동4가,0.0,0,953.0,0.0,0,0
11290115,삼선동5가,0.0,0,0.0,1.0,0,0
11680105,삼성동,1345.0,9,1327.0,18.0,0,1947
11710106,삼전동,534.0,1,0.0,0.0,1,2511
11110140,삼청동,63.0,0,10.0,0.0,0,1054
11350105,상계동,5046.0,6,37764.0,0.0,14,4765
11590103,상도1동,815.0,0,0.0,0.0,0,0
11590102,상도동,1869.0,6,1460.0,0.0,2,1297
11260102,상봉동,1307.0,4,2426.0,0.0,0,4294
11440115,상수동,0.0,0,0.0,0.0,0,0
11440127,상암동,618.0,0,11667.0,3.0,0,2592
11200101,상왕십리동,0.0,0,4660.0,0.0,0,0
11290137,상월곡동,658.0,0,2002.0,0.0,0,0
11740103,상일동,282.0,0,6563.0,0.0,3,1640
11170108,서계동,0.0,11,0.0,0.0,0,0
11440120,서교동,362.0,3,2342.0,1.0,0,10064
11110123,서린동,478.0,2,0.0,0.0,0,0
11170133,서빙고동,206.0,0,691.0,0.0,0,476
11140166,서소문동,0.0,0,0.0,0.0,0,0
11650108,서초동,1044.0,10,5894.0,7.0,3,2397
11290139,석관동,1035.0,4,589.0,1.0,0,2814
11710105,석촌동,584.0,2,77.0,0.0,0,1767
11740108,성내동,1486.0,5,186.0,1.0,0,3480
11290101,성북동,298.0,0,66.0,0.0,0,1996
11290102,성북동1가,0.0,0,0.0,0.0,0,0
11440125,성산동,1500.0,2,19926.0,2.0,1,4875
11200114,성수동1가,663.0,1,505.0,0.0,0,2379
11200115,성수동2가,723.0,3,29.0,2.0,0,3540
11680111,세곡동,1104.0,0,6959.0,0.0,0,1513
11110119,세종로,0.0,0,0.0,0.0,0,0
11110142,소격동,0.0,0,0.0,0.0,0,0
11140111,소공동,13.0,2,62.0,1.0,0,0
11110178,송월동,0.0,0,0.0,0.0,0,0
